POINT_X,POINT_Y,RASTERVALU
449110.4422,5045983.672,1533.243164
449107.7513,5045947.33,1534.137329
449103.2229,5045886.171,1535.989136
449103.1429,5045816.893,1537.214844
449103.073,5045756.426,1539.735352
449102.9985,5045691.928,1543.109985
449102.9193,5045623.389,1546.869507
449102.8455,5045559.546,1552.371826
449102.7644,5045489.346,1556.022583
449102.6539,5045393.719,1564.390259
449102.5956,5045343.166,1567.985474
449100.3895,5045259.401,1572.365479
449098.2072,5045176.538,1576.774048
449096.3367,5045105.512,1580.289307
449094.563,5045038.164,1583.936035
449103.9327,5044943.397,1590.265991
449111.2786,5044869.1,1595.401123
449122.5934,5044754.661,1603.318115
449124.616,5044667.615,1610.741089
449126.1749,5044600.525,1614.088013
449128.1237,5044516.659,1616.499634
449141.3198,5044457.476,1624.967285
449156.8871,5044387.658,1639.843872
449169.3736,5044331.657,1645.588989
449209.5925,5044223.156,1674.124268
449236.5089,5044174.234,1685.449951
449271.5363,5044110.57,1690.89502
449317.3134,5044027.368,1695.548462
449365.8603,5043933.661,1691.118896
449403.5118,5043851.624,1694.79541
449444.9013,5043761.443,1699.280029
449473.1996,5043699.785,1697.200562
449513.2918,5043612.429,1700.32373
449557.6133,5043515.859,1700.855469
449602.6889,5043417.646,1702.549438
449652.257,5043307.289,1706.661255
449688.2217,5043227.217,1709.598267
449716.5134,5043164.229,1707.439209
449759.2732,5043069.029,1712.574463
449814.6353,5042929.143,1714.389526
449891.802,5042794.102,1716.272583
449959.3229,5042707.289,1734.835449
450017.198,5042625.299,1737.075928
450099.1877,5042533.664,1724.908081
450195.6461,5042442.028,1732.729126
450250.9268,5042381.03,1735.443481
450337.4258,5042318.122,1741.972534
450384.607,5042231.623,1748.497192
450486.8331,5042137.26,1769.452148
450565.4686,5042042.898,1782.581787
450644.1041,5041956.399,1801.751709
450683.4218,5041854.172,1828.684814
450746.3302,5041775.537,1842.790527
450809.2385,5041704.765,1854.082397
450864.2834,5041610.403,1866.131836
450927.1917,5041484.586,1892.570435
450997.9636,5041382.36,1931.127686
451068.7356,5041287.997,1917.4021
451147.371,5041217.225,1893.217651
451178.8252,5041114.999,1878.181396
451241.7336,5040965.592,1819.929688
451359.6868,5040769.003,1685.27417
447378.3922,5045983.672,-1466.756836
447375.7013,5045947.33,-1465.862671
447371.1729,5045886.171,-1464.010864
447371.0929,5045816.893,-1462.785156
447371.023,5045756.426,-1460.264648
447370.9485,5045691.928,-1456.890015
447370.8693,5045623.389,-1453.130493
447370.7955,5045559.546,-1447.628174
447370.7144,5045489.346,-1443.977417
447370.6039,5045393.719,-1435.609741
447370.5456,5045343.166,-1432.014526
447368.3395,5045259.401,-1427.634521
447366.1572,5045176.538,-1423.225952
447364.2867,5045105.512,-1419.710693
447362.513,5045038.164,-1416.063965
447371.8827,5044943.397,-1409.734009
447379.2286,5044869.1,-1404.598877
447390.5434,5044754.661,-1396.681885
447392.566,5044667.615,-1389.258911
447394.1249,5044600.525,-1385.911987
447396.0737,5044516.659,-1383.500366
447409.2698,5044457.476,-1375.032715
447424.8371,5044387.658,-1360.156128
447437.3236,5044331.657,-1354.411011
447477.5425,5044223.156,-1325.875732
447504.4589,5044174.234,-1314.550049
447539.4863,5044110.57,-1309.10498
447585.2634,5044027.368,-1304.451538
447633.8103,5043933.661,-1308.881104
447671.4618,5043851.624,-1305.20459
447712.8513,5043761.443,-1300.719971
447741.1496,5043699.785,-1302.799438
447781.2418,5043612.429,-1299.67627
447825.5633,5043515.859,-1299.144531
447870.6389,5043417.646,-1297.450562
447920.207,5043307.289,-1293.338745
447956.1717,5043227.217,-1290.401733
447984.4634,5043164.229,-1292.560791
448027.2232,5043069.029,-1287.425537
448082.5853,5042929.143,-1285.610474
448159.752,5042794.102,-1283.727417
448227.2729,5042707.289,-1265.164551
448285.148,5042625.299,-1262.924072
448367.1377,5042533.664,-1275.091919
448463.5961,5042442.028,-1267.270874
448518.8768,5042381.03,-1264.556519
448605.3758,5042318.122,-1258.027466
448652.557,5042231.623,-1251.502808
448754.7831,5042137.26,-1230.547852
448833.4186,5042042.898,-1217.418213
448912.0541,5041956.399,-1198.248291
448951.3718,5041854.172,-1171.315186
449014.2802,5041775.537,-1157.209473
449077.1885,5041704.765,-1145.917603
449132.2334,5041610.403,-1133.868164
449195.1417,5041484.586,-1107.429565
449265.9136,5041382.36,-1068.872314
449336.6856,5041287.997,-1082.5979
449415.321,5041217.225,-1106.782349
449446.7752,5041114.999,-1121.818604
449509.6836,5040965.592,-1180.070313
449627.6368,5040769.003,-1314.72583